peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr5:101843015-101843515	chr5	101843015	101843515	Intron (ENSMUST00000173528.7/ENSMUST00000173528.7, intron 2 of 3)	7998	Wdfy3	WD repeat and FYVE domain containing 3
chr5:102242371-102242871	chr5	102242371	102242871	Distal Intergenic	-172450	Wdfy3	WD repeat and FYVE domain containing 3
chr5:103643457-103643957	chr5	103643457	103643957	Distal Intergenic	11766	1700016H13Rik	RIKEN cDNA 1700016H13 gene
chr5:107020173-107020673	chr5	107020173	107020673	Distal Intergenic	44935	Cdc7	cell division cycle 7
chr5:109892402-109892902	chr5	109892402	109892902	Distal Intergenic	-30498	Gm15446	predicted gene 15446
chr5:110083223-110083723	chr5	110083223	110083723	Intron (ENSMUST00000210052.1/ENSMUST00000210052.1, intron 1 of 3)	-16246	Plcxd1	phosphatidylinositol-specific phospholipase C, X domain containing 1
chr5:113783617-113784117	chr5	113783617	113784117	Distal Intergenic	9770	Iscu	iron-sulfur cluster assembly enzyme
chr5:115686007-115686507	chr5	115686007	115686507	Intron (ENSMUST00000055408.12/75665, intron 2 of 8)	-15477	Bicdl1	BICD family like cargo adaptor 1
chr5:117158706-117159206	chr5	117158706	117159206	Intron (ENSMUST00000111978.7/330177, intron 1 of 20)	25065	Taok3	TAO kinase 3
chr5:117281179-117281679	chr5	117281179	117281679	Distal Intergenic	5846	Pebp1	phosphatidylethanolamine binding protein 1
chr5:118950931-118951431	chr5	118950931	118951431	Promoter (<=1kb)	-908	4930413E15Rik	RIKEN cDNA 4930413E15 gene
chr5:119414194-119414694	chr5	119414194	119414694	Distal Intergenic	156068	NA	NA
chr5:122000474-122000974	chr5	122000474	122000974	Promoter (1-2kb)	1370	Cux2	cut-like homeobox 2
chr5:122034991-122035491	chr5	122034991	122035491	Intron (ENSMUST00000111752.9/13048, intron 2 of 22)	12334	Cux2	cut-like homeobox 2
chr5:123945281-123945781	chr5	123945281	123945781	Promoter (<=1kb)	-605	Ccdc62	coiled-coil domain containing 62
chr5:142394496-142394996	chr5	142394496	142394996	Distal Intergenic	-6501	Foxk1	forkhead box K1
chr5:144800453-144800953	chr5	144800453	144800953	Exon (ENSMUST00000100467.9/100683, exon 23 of 71)	-3776	Trrap	transformation/transcription domain-associated protein
chr6:4030712-4031212	chr6	4030712	4031212	Distal Intergenic	16373	4930528H21Rik	RIKEN cDNA 4930528H21 gene
chr6:14267225-14267725	chr6	14267225	14267725	Distal Intergenic	395656	1110019D14Rik	RIKEN cDNA 1110019D14 gene
chr6:14737779-14738279	chr6	14737779	14738279	Intron (ENSMUST00000045096.5/140491, intron 1 of 3)	16995	Ppp1r3a	protein phosphatase 1, regulatory subunit 3A
chr6:16883557-16884057	chr6	16883557	16884057	Intron (ENSMUST00000031533.10/21426, intron 1 of 6)	14342	Tfec	transcription factor EC
chr6:16958112-16958612	chr6	16958112	16958612	Distal Intergenic	-59671	Tfec	transcription factor EC
chr6:17800334-17800834	chr6	17800334	17800834	Intron (ENSMUST00000129105.1/64213, intron 2 of 2)	-39703	St7	suppression of tumorigenicity 7
chr6:18697590-18698090	chr6	18697590	18698090	Distal Intergenic	-150489	Lsm8	LSM8 homolog, U6 small nuclear RNA associated
chr6:18946305-18946805	chr6	18946305	18946805	Distal Intergenic	79955	Ankrd7	ankyrin repeat domain 7
chr6:19858437-19858937	chr6	19858437	19858937	Distal Intergenic	303095	Mir6370	microRNA 6370
chr6:22270126-22270626	chr6	22270126	22270626	Distal Intergenic	-17601	Wnt16	wingless-type MMTV integration site family, member 16
chr6:27781849-27782349	chr6	27781849	27782349	Intron (ENSMUST00000115323.7/14823, intron 3 of 10)	154401	Mir592	microRNA 592
chr6:29685116-29685616	chr6	29685116	29685616	Distal Intergenic	-8606	Tspan33	tetraspanin 33
chr6:33794003-33794503	chr6	33794003	33794503	Intron (ENSMUST00000052266.14/20336, intron 11 of 17)	-67597	Exoc4	exocyst complex component 4
chr6:34514853-34515353	chr6	34514853	34515353	Distal Intergenic	37711	Bpgm	2,3-bisphosphoglycerate mutase
chr6:39778949-39779449	chr6	39778949	39779449	Distal Intergenic	26593	Mrps33	mitochondrial ribosomal protein S33
chr6:40894645-40895145	chr6	40894645	40895145	Distal Intergenic	5242	Prss58	serine protease 58
chr6:43940803-43941303	chr6	43940803	43941303	Distal Intergenic	-274525	Tpk1	thiamine pyrophosphokinase
chr6:49109527-49110027	chr6	49109527	49110027	Promoter (1-2kb)	1073	Igf2bp3	insulin-like growth factor 2 mRNA binding protein 3
chr6:50358095-50358595	chr6	50358095	50358595	Intron (ENSMUST00000114468.8/71720, intron 2 of 21)	-6138	Osbpl3	oxysterol binding protein-like 3
chr6:56341645-56342145	chr6	56341645	56342145	Exon (ENSMUST00000203492.1/18575, exon 2 of 2)	19710	Pde1c	phosphodiesterase 1C
chr6:56848790-56849290	chr6	56848790	56849290	Promoter (<=1kb)	-43	Fkbp9	FK506 binding protein 9
chr6:59489076-59489576	chr6	59489076	59489576	Distal Intergenic	-62782	Gprin3	GPRIN family member 3
chr6:60296838-60297338	chr6	60296838	60297338	Intron (ENSMUST00000205153.1/208079, intron 1 of 1)	106333	A530053G22Rik	RIKEN cDNA A530053G22 gene
chr6:60349416-60349916	chr6	60349416	60349916	Intron (ENSMUST00000205153.1/208079, intron 1 of 1)	53755	A530053G22Rik	RIKEN cDNA A530053G22 gene
chr6:65453544-65454044	chr6	65453544	65454044	Intron (ENSMUST00000170608.7/243407, intron 4 of 5)	12240	Qrfprl	pyroglutamylated RFamide peptide receptor like
chr6:66848604-66849104	chr6	66848604	66849104	Distal Intergenic	-43272	Vmn1r39	vomeronasal 1 receptor 39
chr6:71446294-71446794	chr6	71446294	71446794	Distal Intergenic	-5657	Rmnd5a	required for meiotic nuclear division 5 homolog A
chr6:73587539-73588039	chr6	73587539	73588039	Exon (ENSMUST00000204638.1/102634075, exon 4 of 4)	20634	Gm31747	predicted gene, 31747
chr6:78988496-78988996	chr6	78988496	78988996	Distal Intergenic	-43048	Gm20362	predicted gene, 20362
chr6:81554870-81555370	chr6	81554870	81555370	Distal Intergenic	340293	Mir7232	microRNA 7232
chr6:81943237-81943737	chr6	81943237	81943737	Promoter (1-2kb)	1883	Gcfc2	GC-rich sequence DNA binding factor 2
chr6:88990575-88991075	chr6	88990575	88991075	Intron (ENSMUST00000168837.6/232217, intron 1 of 2)	39892	4933427D06Rik	RIKEN cDNA 4933427D06 gene
chr6:90348656-90349156	chr6	90348656	90349156	Exon (ENSMUST00000046128.11/243537, exon 14 of 20)	15367	Uroc1	urocanase domain containing 1
chr6:96346995-96347495	chr6	96346995	96347495	Intron (ENSMUST00000122120.7/320265, intron 2 of 4)	-180752	Nup50l	nucleoporin 50 like
chr6:100257822-100258322	chr6	100257822	100258322	Exon (ENSMUST00000204906.1/ENSMUST00000204906.1, exon 1 of 1)	-24691	Rybp	RING1 and YY1 binding protein
chr6:102697588-102698088	chr6	102697588	102698088	Distal Intergenic	-96296	Mir6373	microRNA 6373
chr6:103428461-103428961	chr6	103428461	103428961	Distal Intergenic	-81625	Chl1	cell adhesion molecule L1-like
chr6:103544335-103544835	chr6	103544335	103544835	Intron (ENSMUST00000203912.2/12661, intron 1 of 26)	33005	Chl1	cell adhesion molecule L1-like
chr6:103613373-103613873	chr6	103613373	103613873	Intron (ENSMUST00000203912.2/12661, intron 1 of 26)	-83877	Chl1	cell adhesion molecule L1-like
chr6:108136650-108137150	chr6	108136650	108137150	Intron (ENSMUST00000032191.15/58911, intron 7 of 8)	7545	Sumf1	sulfatase modifying factor 1
chr6:108770901-108771401	chr6	108770901	108771401	Distal Intergenic	-11698	Arl8b	ADP-ribosylation factor-like 8B
chr6:108862331-108862831	chr6	108862331	108862831	Distal Intergenic	9940	Edem1	ER degradation enhancer, mannosidase alpha-like 1
chr6:110139162-110139662	chr6	110139162	110139662	Distal Intergenic	-505919	Grm7	glutamate receptor, metabotropic 7
chr6:113150922-113151422	chr6	113150922	113151422	Exon (ENSMUST00000042889.11/72895, exon 22 of 22)	22241	Setd5	SET domain containing 5
chr6:127118454-127118954	chr6	127118454	127118954	Distal Intergenic	-8897	Tigar	Trp53 induced glycolysis regulatory phosphatase
chr6:137665137-137665637	chr6	137665137	137665637	Distal Intergenic	-10261	Eps8	epidermal growth factor receptor pathway substrate 8
chr6:137897511-137898011	chr6	137897511	137898011	Distal Intergenic	60659	Dera	deoxyribose-phosphate aldolase
chr6:140748673-140749173	chr6	140748673	140749173	Intron (ENSMUST00000111844.1/ENSMUST00000111844.1, intron 1 of 1)	101856	Aebp2	AE binding protein 2
chr6:141635258-141635758	chr6	141635258	141635758	Promoter (<=1kb)	800	Slco1b2	solute carrier organic anion transporter family, member 1b2
chr6:141767671-141768171	chr6	141767671	141768171	Intron (ENSMUST00000148411.1/ENSMUST00000148411.1, intron 1 of 13)	77297	Slco1a4	solute carrier organic anion transporter family, member 1a4
chr6:146221267-146221767	chr6	146221267	146221767	Intron (ENSMUST00000079573.12/16439, intron 44 of 55)	5776	Itpr2	inositol 1,4,5-triphosphate receptor 2
chr6:148555751-148556251	chr6	148555751	148556251	Distal Intergenic	53482	Gm6313	predicted gene 6313
chr6:149283681-149284181	chr6	149283681	149284181	Exon (ENSMUST00000205001.1/ENSMUST00000205001.1, exon 1 of 1)	-25233	Resf1	retroelement silencing factor 1
chr6:149329187-149329687	chr6	149329187	149329687	Exon (ENSMUST00000046689.12/67246, exon 3 of 5)	3729	Resf1	retroelement silencing factor 1
chr6:149332994-149333494	chr6	149332994	149333494	Intron (ENSMUST00000046689.12/67246, intron 4 of 4)	7536	Resf1	retroelement silencing factor 1
chr7:3463112-3463612	chr7	3463112	3463612	Intron (ENSMUST00000203144.1/ENSMUST00000203144.1, intron 2 of 3)	38450	Cacng6	calcium channel, voltage-dependent, gamma subunit 6
chr7:3709569-3710069	chr7	3709569	3710069	Distal Intergenic	3953	Rps9	ribosomal protein S9
chr7:7196435-7196935	chr7	7196435	7196935	Distal Intergenic	13063	Zfp772	zinc finger protein 772
chr7:24804641-24805141	chr7	24804641	24805141	Distal Intergenic	-13654	Gm5893	predicted gene 5893
chr7:26675415-26675915	chr7	26675415	26675915	Intron (ENSMUST00000077356.6/243881, intron 4 of 8)	10522	Cyp2b23	cytochrome P450, family 2, subfamily b, polypeptide 23
chr7:34452679-34453179	chr7	34452679	34453179	Intron (ENSMUST00000140298.1/ENSMUST00000140298.1, intron 1 of 2)	-59364	Lsm14a	LSM14A mRNA processing body assembly factor
chr7:35492076-35492576	chr7	35492076	35492576	Intron (ENSMUST00000193633.5/71981, intron 12 of 29)	12432	Tdrd12	tudor domain containing 12
chr7:35821207-35821707	chr7	35821207	35821707	Intron (ENSMUST00000187873.1/78547, intron 2 of 2)	-18218	Zfp507	zinc finger protein 507
chr7:35836844-35837344	chr7	35836844	35837344	Intron (ENSMUST00000187873.1/78547, intron 2 of 2)	-33855	Zfp507	zinc finger protein 507
chr7:36095563-36096063	chr7	36095563	36096063	Distal Intergenic	-292574	Zfp507	zinc finger protein 507
chr7:36133488-36133988	chr7	36133488	36133988	Distal Intergenic	-330499	Zfp507	zinc finger protein 507
chr7:38251414-38251914	chr7	38251414	38251914	Distal Intergenic	19361	Pop4	processing of precursor 4, ribonuclease P/MRP family, (S. cerevisiae)
chr7:39706310-39706810	chr7	39706310	39706810	Distal Intergenic	188544	Zfp619	zinc finger protein 619
chr7:40543016-40543516	chr7	40543016	40543516	Distal Intergenic	-131221	4933402C06Rik	RIKEN cDNA 4933402C06 gene
chr7:46606905-46607405	chr7	46606905	46607405	Intron (ENSMUST00000033127.11/27414, intron 8 of 10)	-3663	Sergef	secretion regulating guanine nucleotide exchange factor
chr7:50522495-50522995	chr7	50522495	50522995	Intron (ENSMUST00000151721.7/338352, intron 9 of 9)	51111	Nell1os	NEL-like 1, opposite strand
chr7:51975253-51975753	chr7	51975253	51975753	Intron (ENSMUST00000129604.7/14453, intron 9 of 9)	29945	Svip	small VCP/p97-interacting protein
chr7:55870306-55870806	chr7	55870306	55870806	Promoter (1-2kb)	-1053	Cyfip1	cytoplasmic FMR1 interacting protein 1
chr7:56543112-56543612	chr7	56543112	56543612	Distal Intergenic	236874	Oca2	oculocutaneous albinism II
chr7:58789583-58790083	chr7	58789583	58790083	Intron (ENSMUST00000168747.2/11982, intron 7 of 20)	131337	Atp10a	ATPase, class V, type 10A
chr7:58863267-58863767	chr7	58863267	58863767	Distal Intergenic	205021	Atp10a	ATPase, class V, type 10A
chr7:63236549-63237049	chr7	63236549	63237049	Distal Intergenic	-23980	Chrna7	cholinergic receptor, nicotinic, alpha polypeptide 7
chr7:65410680-65411180	chr7	65410680	65411180	Intron (ENSMUST00000206228.1/21872, intron 2 of 4)	-39441	Tjp1	tight junction protein 1
chr7:74990007-74990507	chr7	74990007	74990507	Distal Intergenic	-39687	4930533N22Rik	RIKEN cDNA 4930533N22 gene
chr7:75152647-75153147	chr7	75152647	75153147	Intron (ENSMUST00000165175.7/64176, intron 4 of 12)	-4921	Sv2b	synaptic vesicle glycoprotein 2b
chr7:76341766-76342266	chr7	76341766	76342266	Intron (ENSMUST00000156166.7/244071, intron 5 of 22)	-68796	Agbl1	ATP/GTP binding protein-like 1
chr7:77132092-77132592	chr7	77132092	77132592	Distal Intergenic	721030	Agbl1	ATP/GTP binding protein-like 1
chr7:79317917-79318417	chr7	79317917	79318417	Intron (ENSMUST00000037315.12/54608, intron 3 of 10)	44663	Abhd2	abhydrolase domain containing 2
chr7:79799385-79799885	chr7	79799385	79799885	Distal Intergenic	-5597	Mesp1	mesoderm posterior 1
chr7:82663802-82664302	chr7	82663802	82664302	Intron (ENSMUST00000141726.7/101592, intron 4 of 6)	-5927	Efl1	elongation factor like GTPase 1
chr7:88260010-88260510	chr7	88260010	88260510	Distal Intergenic	-17575	Ctsc	cathepsin C
chr7:88444375-88444875	chr7	88444375	88444875	Intron (ENSMUST00000107256.3/72433, intron 1 of 2)	13981	Rab38	RAB38, member RAS oncogene family
chr7:88493899-88494399	chr7	88493899	88494399	Distal Intergenic	63505	Rab38	RAB38, member RAS oncogene family
chr7:90116566-90117066	chr7	90116566	90117066	Distal Intergenic	12411	2310010J17Rik	RIKEN cDNA 2310010J17 gene
chr7:92417491-92417991	chr7	92417491	92417991	Intron (ENSMUST00000231777.2/23859, intron 21 of 27)	-9678	Dlg2	discs large MAGUK scaffold protein 2
chr7:92896883-92897383	chr7	92896883	92897383	Intron (ENSMUST00000076052.7/72461, intron 1 of 8)	21583	Prcp	prolylcarboxypeptidase (angiotensinase C)
chr7:94113287-94113787	chr7	94113287	94113787	Intron (ENSMUST00000206116.1/ENSMUST00000206116.1, intron 1 of 1)	-929111	Gm15501	predicted pseudogene 15501
chr7:100046440-100046940	chr7	100046440	100046940	Distal Intergenic	24341	Chrdl2	chordin-like 2
chr7:102952838-102953338	chr7	102952838	102953338	Promoter (2-3kb)	2282	Or51a6	olfactory receptor family 51 subfamily A member 6
chr7:107752393-107752893	chr7	107752393	107752893	Exon (ENSMUST00000052438.7/320635, exon 7 of 9)	5103	Cyb5r2	cytochrome b5 reductase 2
chr7:109047914-109048414	chr7	109047914	109048414	3' UTR	9410	Ric3	RIC3 acetylcholine receptor chaperone
chr7:109082447-109082947	chr7	109082447	109082947	Promoter (<=1kb)	358	Ric3	RIC3 acetylcholine receptor chaperone
chr7:109187665-109188165	chr7	109187665	109188165	Distal Intergenic	-12458	Lmo1	LIM domain only 1
chr7:110116852-110117352	chr7	110116852	110117352	Intron (ENSMUST00000185931.6/69781, intron 2 of 3)	-4694	Wee1	WEE 1 homolog 1 (S. pombe)
chr7:111730394-111730894	chr7	111730394	111730894	Intron (ENSMUST00000049430.14/233733, intron 1 of 10)	49083	Galnt18	polypeptide N-acetylgalactosaminyltransferase 18
chr7:112278811-112279311	chr7	112278811	112279311	Intron (ENSMUST00000050149.11/320878, intron 3 of 19)	7512	Mical2	microtubule associated monooxygenase, calponin and LIM domain containing 2
chr7:116184515-116185015	chr7	116184515	116185015	Promoter (<=1kb)	0	Plekha7	pleckstrin homology domain containing, family A member 7
chr7:116457389-116457889	chr7	116457389	116457889	Distal Intergenic	-13940	Pik3c2a	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
chr7:116494406-116494906	chr7	116494406	116494906	Distal Intergenic	-9463	Nucb2	nucleobindin 2
chr7:116515495-116515995	chr7	116515495	116515995	Intron (ENSMUST00000032895.14/53322, intron 2 of 13)	11080	Nucb2	nucleobindin 2
chr7:116728665-116729165	chr7	116728665	116729165	Distal Intergenic	199853	Nucb2	nucleobindin 2
chr7:117303639-117304139	chr7	117303639	117304139	Distal Intergenic	-76840	Xylt1	xylosyltransferase 1
chr7:117621386-117621886	chr7	117621386	117621886	Intron (ENSMUST00000160035.7/233781, intron 5 of 6)	145894	Xylt1	xylosyltransferase 1
chr7:120714392-120714892	chr7	120714392	120714892	Promoter (1-2kb)	1063	Mosmo	modulator of smoothened
chr7:121436531-121437031	chr7	121436531	121437031	Intron (ENSMUST00000084628.4/195646, intron 1 of 1)	44241	Hs3st2	heparan sulfate (glucosamine) 3-O-sulfotransferase 2
chr7:122123450-122123950	chr7	122123450	122123950	Promoter (<=1kb)	495	Palb2	partner and localizer of BRCA2
chr7:124227234-124227734	chr7	124227234	124227734	Intron (ENSMUST00000106437.1/628779, intron 1 of 1)	244365	Hs3st4	heparan sulfate (glucosamine) 3-O-sulfotransferase 4
chr7:125159487-125159987	chr7	125159487	125159987	Distal Intergenic	178285	4933440M02Rik	RIKEN cDNA 4933440M02 gene
chr7:128121486-128121986	chr7	128121486	128121986	Intron (ENSMUST00000098015.9/16409, intron 29 of 29)	5050	Itgam	integrin alpha M
chr7:134046184-134046684	chr7	134046184	134046684	Intron (ENSMUST00000067680.10/11489, intron 3 of 22)	-84919	Adam12	ADAM metallopeptidase domain 12
chr7:136882496-136882996	chr7	136882496	136882996	Distal Intergenic	-11618	Mgmt	O-6-methylguanine-DNA methyltransferase
chr7:138560037-138560537	chr7	138560037	138560537	Intron (ENSMUST00000209357.1/75187, intron 2 of 2)	5795	4930543N07Rik	RIKEN cDNA 4930543N07 gene
chr7:139994890-139995390	chr7	139994890	139995390	Promoter (2-3kb)	-2328	Adam8	a disintegrin and metallopeptidase domain 8
chr8:3544071-3544571	chr8	3544071	3544571	Promoter (1-2kb)	1971	Pnpla6	patatin-like phospholipase domain containing 6
chr8:9099790-9100290	chr8	9099790	9100290	Distal Intergenic	31998	4933430N04Rik	RIKEN cDNA 4933430N04 gene
chr8:10449099-10449599	chr8	10449099	10449599	Intron (ENSMUST00000207477.1/244281, intron 20 of 34)	176527	Myo16	myosin XVI
chr8:14618853-14619353	chr8	14618853	14619353	Intron (ENSMUST00000152652.7/244310, intron 3 of 14)	-123400	Dlgap2	DLG associated protein 2
chr8:18618438-18618938	chr8	18618438	18618938	Intron (ENSMUST00000039412.14/244329, intron 3 of 13)	-6625	Mcph1	microcephaly, primary autosomal recessive 1
chr8:18678868-18679368	chr8	18678868	18679368	Intron (ENSMUST00000039412.14/244329, intron 11 of 13)	20179	Angpt2	angiopoietin 2
chr8:18817170-18817670	chr8	18817170	18817670	Distal Intergenic	-28607	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5
chr8:23507880-23508380	chr8	23507880	23508380	Distal Intergenic	96378	Sfrp1	secreted frizzled-related protein 1
chr8:26113292-26113792	chr8	26113292	26113792	Intron (ENSMUST00000037182.13/320191, intron 1 of 21)	5432	Hook3	hook microtubule tethering protein 3
chr8:26921257-26921757	chr8	26921257	26921757	Distal Intergenic	-40675	2310008N11Rik	RIKEN cDNA 2310008N11 gene
chr8:27105062-27105562	chr8	27105062	27105562	Intron (ENSMUST00000178514.7/78560, intron 2 of 15)	-8571	Adgra2	adhesion G protein-coupled receptor A2
chr8:27145786-27146286	chr8	27145786	27146286	Promoter (2-3kb)	2876	4933416M07Rik	RIKEN cDNA 4933416M07 gene
chr8:28738937-28739437	chr8	28738937	28739437	Intron (ENSMUST00000168630.3/210801, intron 8 of 17)	479990	Unc5d	unc-5 netrin receptor D
chr8:33186267-33186767	chr8	33186267	33186767	Distal Intergenic	143783	Wrn	Werner syndrome RecQ like helicase
chr8:35283543-35284043	chr8	35283543	35284043	Distal Intergenic	-91696	Ppp1r3b	protein phosphatase 1, regulatory subunit 3B
chr8:35662053-35662553	chr8	35662053	35662553	Intron (ENSMUST00000037666.5/52065, intron 1 of 2)	54776	Mfhas1	malignant fibrous histiocytoma amplified sequence 1
chr8:44307008-44307508	chr8	44307008	44307508	Distal Intergenic	-596959	Adam34	a disintegrin and metallopeptidase domain 34
chr8:45522833-45523333	chr8	45522833	45523333	Intron (ENSMUST00000067065.13/234214, intron 1 of 25)	14915	Sorbs2	sorbin and SH3 domain containing 2
chr8:45580010-45580510	chr8	45580010	45580510	Intron (ENSMUST00000067065.13/234214, intron 1 of 25)	-47229	Sorbs2	sorbin and SH3 domain containing 2
chr8:46036621-46037121	chr8	46036621	46037121	Intron (ENSMUST00000170416.7/102141, intron 15 of 17)	14141	Lrp2bp	Lrp2 binding protein
chr8:46886066-46886566	chr8	46886066	46886566	Distal Intergenic	78836	Irf2	interferon regulatory factor 2
chr8:47229995-47230495	chr8	47229995	47230495	Intron (ENSMUST00000079195.5/71069, intron 1 of 3)	-9760	Stox2	storkhead box 2
chr8:51196543-51197043	chr8	51196543	51197043	Distal Intergenic	828431	Gm2516	predicted gene 2516
chr8:53130301-53130801	chr8	53130301	53130801	Distal Intergenic	-380926	Aga	aspartylglucosaminidase
chr8:53749036-53749536	chr8	53749036	53749536	Distal Intergenic	-109971	Neil3	nei like 3 (E. coli)
chr8:54122279-54122779	chr8	54122279	54122779	Intron (ENSMUST00000033919.5/22341, intron 1 of 6)	44500	Vegfc	vascular endothelial growth factor C
chr8:54546943-54547443	chr8	54546943	54547443	Promoter (2-3kb)	-2888	Asb5	ankyrin repeat and SOCs box-containing 5
chr8:57569670-57570170	chr8	57569670	57570170	Intron (ENSMUST00000034021.11/108150, intron 2 of 11)	-31217	Galnt7	polypeptide N-acetylgalactosaminyltransferase 7
chr8:57721897-57722397	chr8	57721897	57722397	Intron (ENSMUST00000209274.1/ENSMUST00000209274.1, intron 2 of 2)	-68865	Galnt7	polypeptide N-acetylgalactosaminyltransferase 7
chr8:61561150-61561650	chr8	61561150	61561650	Intron (ENSMUST00000121200.8/72333, intron 1 of 11)	-27309	Palld	palladin, cytoskeletal associated protein
chr8:61789926-61790426	chr8	61789926	61790426	Intron (ENSMUST00000121785.8/72333, intron 2 of 21)	-29828	Palld	palladin, cytoskeletal associated protein
chr8:61911122-61911622	chr8	61911122	61911622	Intron (ENSMUST00000133752.1/ENSMUST00000133752.1, intron 2 of 2)	-8432	Palld	palladin, cytoskeletal associated protein
chr8:64957335-64957835	chr8	64957335	64957835	Promoter (1-2kb)	-1708	Tmem192	transmembrane protein 192
chr8:66342694-66343194	chr8	66342694	66343194	Intron (ENSMUST00000152320.7/72925, intron 5 of 8)	-43100	Marchf1	membrane associated ring-CH-type finger 1
chr8:67690012-67690512	chr8	67690012	67690512	3' UTR	127721	Psd3	pleckstrin and Sec7 domain containing 3
chr8:67803407-67803907	chr8	67803407	67803907	Intron (ENSMUST00000038959.15/234353, intron 8 of 14)	14326	Psd3	pleckstrin and Sec7 domain containing 3
chr8:68298681-68299181	chr8	68298681	68299181	Exon (ENSMUST00000213094.1/ENSMUST00000213094.1, exon 1 of 1)	16374	Sh2d4a	SH2 domain containing 4A
chr8:71312589-71313089	chr8	71312589	71313089	Intron (ENSMUST00000212935.1/17925, intron 2 of 39)	-20728	Myo9b	myosin IXb
chr8:72105389-72105889	chr8	72105389	72105889	Promoter (1-2kb)	-1151	Or1ab2	olfactory receptor family 1 subfamily AB member 2
chr8:72561383-72561883	chr8	72561383	72561883	Distal Intergenic	9166	Smim7	small integral membrane protein 7
chr8:72764843-72765343	chr8	72764843	72765343	Promoter (2-3kb)	2963	F2rl3	F2R like thrombin or trypsin receptor 3
chr8:73162239-73162739	chr8	73162239	73162739	Intron (ENSMUST00000004497.10/16795, intron 2 of 14)	-63326	Large1	LARGE xylosyl- and glucuronyltransferase 1
chr8:91840931-91841431	chr8	91840931	91841431	Distal Intergenic	-38864	Irx3	Iroquois related homeobox 3
chr8:92196449-92196949	chr8	92196449	92196949	Distal Intergenic	149921	Crnde	colorectal neoplasia differentially expressed, non-protein coding
chr8:95005477-95005977	chr8	95005477	95005977	Promoter (<=1kb)	-170	Adgrg1	adhesion G protein-coupled receptor G1
chr8:96453099-96453599	chr8	96453099	96453599	Distal Intergenic	-564552	Got2	glutamatic-oxaloacetic transaminase 2, mitochondrial
chr8:98572943-98573443	chr8	98572943	98573443	Distal Intergenic	-438443	Gm15679	predicted gene 15679
chr8:110018643-110019143	chr8	110018643	110019143	Distal Intergenic	20211	Chst4	carbohydrate sulfotransferase 4
chr8:110566007-110566507	chr8	110566007	110566507	Intron (ENSMUST00000043141.6/244653, intron 61 of 86)	-52078	Vac14	Vac14 homolog (S. cerevisiae)
chr8:111513004-111513504	chr8	111513004	111513504	Intron (ENSMUST00000038193.14/319481, intron 1 of 25)	8483	Wdr59	WD repeat domain 59
chr8:122585597-122586097	chr8	122585597	122586097	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	-4519	Galns	galactosamine (N-acetyl)-6-sulfatase
chr8:128679891-128680391	chr8	128679891	128680391	Distal Intergenic	-5263	Itgb1	integrin beta 1 (fibronectin receptor beta)
chr9:6037063-6037563	chr9	6037063	6037563	Distal Intergenic	-131021	Pdgfd	platelet-derived growth factor, D polypeptide
chr9:6250235-6250735	chr9	6250235	6250735	Intron (ENSMUST00000058692.8/71785, intron 1 of 6)	19111	Ddi1	DNA-damage inducible 1
chr9:6264775-6265275	chr9	6264775	6265275	3' UTR	4571	Ddi1	DNA-damage inducible 1
chr9:7575542-7576042	chr9	7575542	7576042	Intron (ENSMUST00000120900.7/234911, intron 4 of 9)	4079	Mmp27	matrix metallopeptidase 27
chr9:13584053-13584553	chr9	13584053	13584553	Intron (ENSMUST00000159294.8/270118, intron 1 of 4)	-37093	Maml2	mastermind like transcriptional coactivator 2
chr9:15396911-15397411	chr9	15396911	15397411	Distal Intergenic	-39123	Cep295	centrosomal protein 295
chr9:17451305-17451805	chr9	17451305	17451805	Distal Intergenic	-840320	Chordc1	cysteine and histidine rich domain containing 1
chr9:17466363-17466863	chr9	17466363	17466863	Distal Intergenic	-825262	Chordc1	cysteine and histidine rich domain containing 1
chr9:24412093-24412593	chr9	24412093	24412593	3' UTR	11366	Dpy19l1	dpy-19 like C-mannosyltransferase 1
chr9:26612283-26612783	chr9	26612283	26612783	Distal Intergenic	-120945	B3gat1	beta-1,3-glucuronyltransferase 1
chr9:27261899-27262399	chr9	27261899	27262399	Distal Intergenic	-36805	Igsf9b	immunoglobulin superfamily, member 9B
chr9:31543970-31544470	chr9	31543970	31544470	Distal Intergenic	-79508	Tmem45b	transmembrane protein 45b
chr9:32672254-32672754	chr9	32672254	32672754	Intron (ENSMUST00000183879.1/23871, intron 3 of 3)	-23268	Ets1	Ets proto-oncogene 1, transcription factor
chr9:32899813-32900313	chr9	32899813	32900313	Distal Intergenic	28653	Gm27162	predicted gene 27162
chr9:33578551-33579051	chr9	33578551	33579051	Distal Intergenic	-463318	7630403G23Rik	RIKEN cDNA 7630403G23 gene
chr9:33883631-33884131	chr9	33883631	33884131	Distal Intergenic	-158238	7630403G23Rik	RIKEN cDNA 7630403G23 gene
chr9:37317982-37318482	chr9	37317982	37318482	Intron (ENSMUST00000217440.1/ENSMUST00000217440.1, intron 2 of 2)	29875	Ccdc15	coiled-coil domain containing 15
